participant_label_exp1,embezzle,cluster_number,corruption_level
56fea1c604254b000f0065a9,1,1,1
5b2167d705ee380001575fcc,1,1,1
5ba347a02dfb8f000119626c,1,1,1
61017977184be1b1d2a89218,1,1,1
6103e3525df004b874b3760e,1,1,1
60fcfb34266ed4d03b66fcc4,1,1,1
61040e0415f39e0014620f5f,1,1,1
6107a6b5c04431b227e2374f,1,1,1
6106a085555f7da484642ca2,1,1,1
5ecfd2be11216004c17c6b26,1,2,1
5e3ab6618ea5a5000e9e3b6c,1,2,1
6105bc993a9e157adee5063c,1,2,1
6106ddd6e48453412d0305d1,1,2,1
61015a7fc1db48c6d85f7625,1,2,1
6106b350fdbc576186cb19d7,1,2,1
5bc628dab52e4c0001c13083,1,2,1
5f5165ce1bff403b27a108ff,1,2,1
5f138bbecda32013aed8add1,1,2,1
5ed29fa685754b0ade592f5f,1,3,0
60fd2dbd8b288d129a70e6e2,1,3,0
5a674e7ab9e3b50001a73698,1,4,99
6106ea6a382d63befcff5307,1,4,99
564bdb55f8f24200052a3d10,0,1,1
6105496c2609f049375bb043,0,2,1
60feb4a91f63a713823af9e0,0,3,0
6103ecec19120bbb47800858,0,3,0
60fe69b0d0dbe44e36958b5e,0,3,0
5e4d0c899a56a0158d953f82,0,3,0
5fa182a5b0a2b2294d1acca6,0,3,0
6105d6e94a0b4e715c483417,0,3,0
6103de86200a46a797078d72,0,3,0
61056023e1e53a617fd1993b,0,3,0
